Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
SKILLCATEGORY_COMBAT_DESCRIPTION,Upgrade your attack attributes.,Améliore vos attributs offensifs.,Verbessere deine Angriffsattribute.,Potenzia gli attributi di attacco.,Aprimora seus atributos de ataque.,Mejora tus atributos de ataque.,Улучшение ваших боевых качеств.,攻撃能力がアップ。,提升你的攻击属性。
SKILL_MELEEDAMAGE_NAME,Melee Damage,Dégâts en mêlée,Nahkampf-Schaden,Danno in mischia,Dano Corpo a Copro,Daño cuerpo a cuerpo,Урон ближнего боя,直接攻撃ダメージ,近战伤害
SKILL_MELEEDAMAGE_DESCRIPTION,Increases damage with a handheld weapon,Augmente les dégâts avec une arme portative,Erhöht den Schaden mit einer Handwaffe.,Aumenta il danno con un'arma portatile.,Aumenta o dano causado por armas brancas.,Aumenta el daño con armas de mano.,Повышает урон от оружия ближнего боя.,直接攻撃の武器によるダメージがアップ,提升一件手持武器的伤害。
SKILL_MELEESPEED_NAME,Melee Speed,Vitesse en mêlée,Nahkampf-Geschwindigkeit,Velocità in mischia,Velocidade de Corpo a Corpo,Velocidad cuerpo a cuerpo,Скорость ближнего боя,直接攻撃スピード,近战速度
SKILL_MELEESPEED_DESCRIPTION,Increases your attack speed,Augmente votre vitesse d'attaque,Erhöht dein Angriffstempo.,Aumenta la tua velocità d'attacco.,Aumenta sua velocidade de ataque.,Aumenta tu velocidad de ataque.,Повышает скорость вашей атаки.,直接攻撃のスピードがアップ,提升你的攻击速度。
SKILL_RANGEDDAMAGE_NAME,Ranged Damage,Dégâts à distance,Fernkampf-Schaden,Danno a distanza,Dano à Distância,Daño a distancia,Урон при стрельбе,間接攻撃ダメージ,远程伤害
SKILL_RANGEDDAMAGE_DESCRIPTION,Increases damage with a projectile weapon,Augmente les dégâts avec une arme à projectiles,Erhöht den Schaden mit einer Projektilwaffe.,Aumenta il danno con un'arma a proiettili.,Aumenta o dano causado por projéteis.,Aumenta el daño con armas de proyectiles.,Повышает урон от оружия дальнего боя.,間接攻撃の武器によるダメージがアップ,提升一件远程武器的伤害。
SKILL_RANGEDSPEED_NAME,Projectile Speed,Vitesse des projectiles,Projektil-Geschwindigkeit,Velocità proiettili,Velocidade de Projétil,Velocidad de proyectiles,Скорость снаряда,間接攻撃スピード,远程速度
SKILL_RANGEDSPEED_DESCRIPTION,Increases speed of thrown weapons,Augmente la vitesse des armes de jet,Erhöht die Geschwindigkeit von Wurfwaffen.,Aumenta la velocità delle armi da lancio.,Aumenta a velocidade de armas arremessáveis.,Aumenta la velocidad de las armas arrojadizas.,Увеличивает скорость метательного оружия.,間接攻撃のスピードがアップ,提升远程武器的速度。
,,,,,,,,,
SKILLCATEGORY_STEALTH_NAME,Stealth,Furtivité,Tarnung,Furtività,Furtividade,Sigilo,Скрытность,ステルス,潜行
SKILLCATEGORY_STEALTH_DESCRIPTION,Upgrade abiliites related to stealth.,Améliore les compétences de furtivité.,Verbessere deine Tarnfähigkeiten.,Potenzia le abilità relative alla furtività.,Aprimora habilidades relacionadas a furtividade.,Aumenta tus capacidades relacionadas con el sigilo.,"Улучшение всего, связанного со скрытностью.",ステルス能力がアップ,提升潜行的相关能力。
SKILL_CRAWLSPEED_NAME,Crawl Speed,Vitesse en rampant,Kriechgeschwindigkeit,Velocità da accovacciati,Velocidade Agachado,Velocidad de gateo,Скорость ползка,匍匐,匍匐速度
SKILL_CRAWLSPEED_DESCRIPTION,Increases base crawling speed by 50%.,Augmente la vitesse basique du déplacement en rampant de 50 %.,Erhöht die grundlegende Krabbelgeschwindigkeit um 50 %.,Aumenta la velocità base da accovacciati del 50%.,Aumenta a velocidade ao andar agachado em 50%.,Aumenta la velocidad base al gatear un 50%.,Увеличивает скорость базового ползка на 50%.,しゃがんで移動する速度が５０％アップ。,令基础匍匐速度加快50%。
SKILL_BACKSTAB_NAME,Backstab,Coup de traître,Hinterhalt,Imboscata,Emboscada,Apuñalar,Удар в спину,奇襲,背刺
SKILL_BACKSTAB_DESCRIPTION,Deal 25% extra melee damage to unaware enemies.,Inflige 25 % de dégâts en mêlée supplémentaires sur les ennemis surpris.,Verursacht 25 % zusätzlichen Nahkampfschaden an ahnungslosen Feinden.,Infligge un danno extra in mischia del 25% ai nemici ignari.,Causa 25% a mais de dano corpo a corpo em inimigos desprevenidos.,Inflige un 25% de daño adicional al atacar a enemigos desprevenidos con ataques cuerpo a cuerpo.,Наносите на 25% больше урона ничего не подозревающим противникам.,"こちらに気づかない敵に対して直接攻撃の
ダメージが２５％アップ。",如果敌人还没发现你，本次近战伤害增加25%。
,,,,,,,,,
SKILLCATEGORY_HACKING_NAME,Infection,Infection,Infektion,Infezione,Infecção,Infección,Заражение,ハッキング,感染
SKILLCATEGORY_HACKING_DESCRIPTION,Hack enemies to create different status effects.,Pirate les ennemis pour créer différents effets de statut.,"Hacke Gegner, um verschiedene Statuseffekte zu erzeugen.",Hackera i nemici per creare diversi effetti di status,Hackeia inimigos para criar diferentes efeitos.,Hackea enemigos para crear varios efectos de estado.,Взлом врагов для создания различных статус-эффектов.,ハッキング能力がアップ,侵入敌人的系统，造成不同的状态效果。
SKILL_NANOPOINTS_NAME,Nano Points,Nanopoints,Nanopunkte,Nanopunti,Nanopontos,Nanopuntos,Нано-очки,ナノポイント,纳米点数
SKILL_NANOPOINTS_DESCRIPTION,Adds an additional 50 nano (hacking) points,Rajoute 50 nanopoints (piratage) supplémentaires.,Fügt zusätzliche 50 Nano-(Hack)-Punkte hinzu,Aggiunge 50 nanopunti (hacking) supplementari.,Adiciona 50 nanopontos.,Agrega 50 nanopuntos adicionales (puntos de hackeo).,Добавляет дополнительные 50 нано-очков (очки взлома).,５０ナノ（ハッキング）ポイントを追加。,纳米（侵入）点数额外增加50。
SKILL_HACKINGLEVEL_NAME,Infection Level,Niveau d'infection,Infektions-Level,Livello d'infezione,Nível de Infecção,Nivel de infección,Уровень заражения,ハッキングレベル,感染等级
SKILL_HACKINGLEVEL_DESCRIPTION,Increase this level to infect stronger enemies.,Augmente le niveau pour infecter des ennemis plus coriaces.,"Erhöhe dieses Level, um stärkere Gegner zu infizieren.",Aumenta il livello per infettare nemici più forti.,Aumente este nível para infectar inimigos mais fortes.,Aumenta este nivel para infectar a enemigos más fuertes.,Позволяет заражать врагов посильнее.,"このレベルが高いほどより強力な敵をハッ
キングできるようになる。",提升这个等级，即可感染更为强大的敌人。
SKILL_HACKINGSPEED_NAME,Infection Speed,Vitesse d'infection,Infektions-Geschwindigkeit,Velocità d'infezione,Velocidade de Infecção,Velocidad de infección,Скорость заражения,ハッキングスピード,感染速度
SKILL_HACKINGSPEED_DESCRIPTION,Increases expansion speed,Augmente la vitesse de propagation.,Erhöht die Ausbreitungsgeschwindigkeit,Aumenta la velocità di propagazione.,Aumenta a velocidade de expansão.,Aumenta la velocidad de expansión.,Увеличивает скорость распространения.,ハッキング有効範囲の拡大スピードがアップ。,提升扩散速度。
SKILL_HACKINGRANGE_NAME,Infection Range,Portée d'infection,Infektions-Reichweite,Raggio d'infezione,Alcance de Infecção,Rango de infección,Область заражения,ハッキングレンジ,感染范围
SKILL_HACKINGRANGE_DESCRIPTION,Increases the infection radius by 1 meter.,Augmente d'un mètre le rayon d'infection.,Erhöht den Infektionsradius um 1 Meter.,Aumenta di un metro il raggio d'infezione.,Aumenta o alcance de infecção em 1 metro.,Aumenta 1 metro el radio de infección.,Увеличивает область заражения на 1 метр.,ハッキング有効範囲が半径１メートルアップ。,令感染半径延长1米。
,,,,,,,,,
SKILLCATEGORY_DRONE_NAME,Drone,Drone,Drohne,Drone,Drone,Dron,Дрон,ドローン,无人机
SKILLCATEGORY_DRONE_DESCRIPTION,Upgrade your drone's abilities.,Améliorer les compétences de votre drone.,Verbessere die Fähigkeiten deiner Drohne.,Potenzia le abilità del tuo drone.,Aprimora as habilidades do seu drone.,Mejora las habilidades de tu dron.,Улучшение способностей вашего дрона.,ドローンの能力がアップ,增强你无人机的能力。
SKILL_DRONEMELEEDAMAGE_NAME,Drone Melee Damage,Dégâts en mêlée du drone,Drohnen-Nahkampf-Schaden,Danno in mischia del drone,Dano Corpo a Corpo do Drone,Daño cuerpo a cuerpo del dron,Ближний бой дрона,ドローン攻撃ダメージ,无人机近战伤害
SKILL_DRONEMELEEDAMAGE_DESCRIPTION,Increases drone's damage,Augmente les dégâts du drone.,Erhöht den Schaden der Drohne,Aumenta il danno del drone.,Aumenta o dano causado pelo drone.,Aumenta el daño del dron.,Увеличивает урон дрона.,ドローンの攻撃ダメージがアップ,提升无人机的伤害。
SKILL_DRONEMELEESPEED_NAME,Drone Melee Speed,Vitesse en mêlée du drone,Drohne Nahkampf-Geschwindigkeit,Velocità in mischia del drone,Velocidade Corpo a Corpo do Drone,Velocidad cuerpo a cuerpo del dron,Скорость ближнего боя дрона,ドローン攻撃スピード,无人机近战速度
SKILL_DRONEMELEESPEED_DESCRIPTION,Increases drone's attack speed,Augmente la vitesse d'attaque du drone.,Erhöht die Angriffsgeschwindigkeit der Drohne,Aumenta la velocità d'attacco del drone.,Aumenta a velocidade de ataque do drone.,Aumenta la velocidad de ataque del dron.,Увеличивает скорость атаки дрона.,ドローンの攻撃スピードがアップ,提升无人机的攻击速度。
SKILL_TURBOZIPCHARGETIME_NAME,Imdug Bir Charge Time,Temps de charge Imdug Bir,Imdug-Bir-Aufladezeit,Tempo di carica di Imdug Bir,Tempo de carga do Imdug Bir,Tiempo de carga de Imdug Bir,Скорость заряда Имдуг Бир,イムドゥグ・ビールのチャージ時間,因杜戈毕尔蓄力时间
SKILL_TURBOZIPCHARGETIME_DESCRIPTION,Decreases the time to charge up the slingshot attack.,Réduit le temps de charge de l'attaque catapulte.,"Verringert die Zeit, um den Schleuderangriff aufzuladen.",Riduce il tempo necessario a caricare l'attacco a catapulta.,Diminui o tempo de carga do ataque estilingue.,Reduce el tiempo de recarga del ataque con la honda.,Уменьшает время заряда выстрела из пращи.,スリングショットのチャージ時間を短縮。,缩短弹弓的蓄力时间。
