DELETE_CONFIRMATION,Are you sure you want to permanently delete this save?,Voulez-vous vraiment supprimer définitivement cette sauvegarde ?,Möchtest du diesen Spielstand wirklich endgültig löschen?,Vuoi davvero eliminare questo salvataggio?,Tem certeza de que deseja apagar permanentemente esses dados salvos?,¿Confirmas que quieres eliminar para siempre esta partida?,"Вы уверены, что хотите полностью удалить сохранение?",削除しますか？,确定删除这个存档？一经删除，无法恢复。
COPY_CONFIRMATION,Are you sure you want to overwrite this save?,Voulez-vous vraiment écraser cette sauvegarde ?,Möchtest du diesen Spielstand wirklich überschreiben?,Vuoi davvero sovrascrivere questo salvataggio?,Tem certeza de que deseja substituir esses dados salvos?,¿Confirmas que quieres sobrescribir esta partida guardada?,"Вы уверены, что хотите переписать это сохранение?",上書きしますか？,确定覆盖这个存档？一经覆盖，无法恢复。
CHOOSE_DIFFICULTY,Choose Difficulty,Choisissez la difficulté,Schwierigkeitsstufe wählen,Scegli difficoltà,Escolha uma dificuldade,Elige la dificultad,Выберите уровень сложности,難易度を選択,选择难度
DIFFICULTY_NORMAL,Normal,Normal,Normal,Normale,Normal,Normal,Нормально,ノーマル,正常
DIFFICULTY_HARD,Hard,Difficile,Schwer,Difficile,Difícil,Difícil,Сложно,ハード,困难
OPTIONS_TITLE,OPTIONS,OPTIONS,OPTIONEN,OPZIONI,OPÇÕES,OPCIONES,НАСТРОЙКИ,オプション,游戏选项
OPTIONS_CONTROLLER_CONFIG_TITLE,GAMEPAD CONFIGURATION,CONFIGURATION MANETTE,GAMEPAD-EINSTELLUNGEN,CONFIGURAZIONE GAMEPAD,CONFIGURAÇÃO DO CONTROLE,CONFIGURACIÓN DE CONTROL,НАСТРОЙКИ КОНТРОЛЛЕРА,ゲームパッドコンフィグ,手柄键位设置
OPTIONS_KEYBOARD_CONFIG_TITLE,KEYBOARD CONFIGURATION,CONFIGURATION CLAVIER,TASTATUR-EINSTELLUNGEN,CONFIGURAZIONE TASTIERA,CONFIGURAÇÃO DO TECLADO,CONFIGURACIÓN DE TECLADO,НАСТРОЙКИ КЛАВИАТУРЫ,キーボードコンフィグ,键盘键位设置
OPTIONS_WEAPON_SELECT_UI_TITLE,WEAPON SELECT UI STYLE,INTERFACE DE SÉLECTION DES ARMES,WAFFENAUSWAHL INTERFACE-STIL,STILE UI SELEZIONE ARMA,ESTILO DA INTERFACE DE SELEÇÃO DE ARMAS,ESTILO DE INTERFAZ DE SELECCIÓN DE ARMAS,СТИЛЬ МЕНЮ ВЫБОРА ОРУЖИЯ,武器選択ＵＩ,武器选择界面样式
OPTIONS_WEAPON_SELECT_LINEAR,Linear,Linéaire,Linear,Lineare,Linear,Lineal,Линейный,ライン状,线性
OPTIONS_WEAPON_SELECT_RING,Ring,Radiale,Kreis,Circolare,Circular,Circular,Радиальный,リング状,循环
,,,,,,,,,
OPTIONS_LANGUAGE_TITLE,LANGUAGE,LANGUE,SPRACHE,LINGUA,IDIOMA,IDIOMA,ЯЗЫК,言語,语言
OPTIONS_ENGLISH,English,English,English,English,English,English,English,English,English
OPTIONS_FRENCH,Français,Français,Français,Français,Français,Français,Français,Français,Français
OPTIONS_GERMAN,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
OPTIONS_ITALIAN,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
OPTIONS_PORTUGUESE,Português,Português,Português,Português,Português,Portugués,Português,Português,Português
OPTIONS_SPANISH,Español,Español,Español,Español,Español,Español,Español,Español,Español
OPTIONS_RUSSIAN,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
OPTIONS_JAPANESE,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
OPTIONS_CHINESE,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
SPEEDRUN_TITLE,SPEEDRUN MODE,MODE SPEEDRUN,SCHNELLDURCHLAUF-MODUS,MODALITÀ SPEEDRUN,MODO SPEEDRUN,MODO CONTRARRELOJ,РЕЖИМ БЫСТРОГО ПРОХОЖДЕНИЯ,スピードラン,速通模式
SPEEDRUN_GO,START NEW,NOUVELLE PARTIE,STARTE NEU,NUOVA PARTITA,INICIAR NOVO JOGO,EMPEZAR DE NUEVO,НАЧАТЬ ЗАНОВО,始めから,开始新游戏
SPEEDRUN_CONTINUE,CONTINUE,CONTINUER,WEITER,CONTINUA,CONTINUAR,CONTINUAR,ПРОДОЛЖИТЬ,コンテニュー,继续游戏
SPEEDRUN_DIFFICULTY,DIFFICULTY,DIFFICULTÉ,SCHWIERIGKEIT,DIFFICOLTÀ,DIFICULDADE,DIFICULTAD,СЛОЖНОСТЬ,難易度,难度
SPEEDRUN_CHECKPOINTS,CHECKPOINT HUD,HUD POINT DE CONTRÔLE,CHECKPUNKT HUD,HUD CHECKPOINT,AVISO DE PONTO DE CONTROLE,INTERFAZ DE PUNTO DE CONTROL,ЗНАЧОК ЧЕКПОИНТА,チェックポイントＨＵＤ,检查点HUD
ON,On,Oui,An,Sì,Ligado,Sí,Вкл.,オン,开
OFF,Off,Non,Aus,No,Desligado,No,Выкл.,オフ,关
SPEEDRUN_BEST_TIME,Best Time:,Meilleur temps :,Beste Zeit:,Tempo migliore:,Melhor tempo:,Mejor tiempo:,Лучшее время:,Best Time:,最短时间：
SPEEDRUN_LAST_TIME,Last Time:,Dernier temps :,Neueste Zeit:,Ultimo tempo:,Último tempo:,Último tiempo:,Последнее время:,Last Time:,上一次的时间：
SPEEDRUN_DESCRIPTION,"Experts only!
 
This is a special mode for competitive streamers who complete the game in a single sitting.
 
It eliminates dialogue, cutscenes, and randomized content, and provides an on-screen timer.","Experts uniquement !
 
Ce mode spécial est réservé aux streamers compétitifs qui terminent le jeu en une seule partie.
 
Il supprime les dialogues, les cinématiques, le contenu aléatoire et affiche un chrono à l'écran.","Nur für Experten!
 
Er verzichtet auf Dialoge, Zwischensequenzen und Zufallsinhalte und bietet eine Bildschirm-Zeitanzeige.","Solo per esperti!
 
Questa è una modalità speciale per streamer competitivi che completano il gioco in una singola seduta di gioco.
  
Elimina dialoghi, filmati e contenuti casuali e fornisce un timer a schermo.","Só para experientes!
  
Este é um modo especial para jogadores que completam o jogo em uma única partida.
 
Este modo remove os diálogos, as cenas e o conteúdo aleatório, e mostra um cronômetro na tela.","¡Solo para especialistas!
  
Este es un modo especial para streamers que quieran completar el juego de una sola vez para competir.
  
Elimina los diálogos, las escenas de historia y el contenido aleatorio, y agrega un cronómetro a la pantalla.","Только для экспертов!
 
Это специальный соревновательный режим для стримеров, которые могут пройти игру за один заход.
 
В нем отсутствуют диалоги, ролики и случайно распределяемый контент, а также здесь присутствует экранный таймер.","エキスパート向けのプレイモード！
 
このモードは、ゲームを一度にクリアしながら
競うストリーマー用のスペシャルモードです。
 
セリフやカットシーンおよびランダムのコンテンツを
取り除き、画面上にタイマーをセットします。","仅限高玩！

这个特殊模式专为富有竞技精神的主播设计，需要玩家一口气通关。

这个模式没有对话、过场动画和随机内容，另外游戏画面内置了一个计时器。"
SPEEDRUN_DESCRIPTION_PS4,Use the Share button to begin streaming your run!,Utilisez le bouton Partager pour commencer à diffuser votre run !,"Benutze die Teilen-Schaltfläche, um deinen Lauf zu streamen!",Usa il tasto Condividi per iniziare a trasmettere la tua corsa in streaming!,Use o botão Compartilhar para começar a transmitir seu jogo!,¡Usa el botón SHARE para transmitir tu partida!,"Используйте кнопку ""Поделиться"", чтобы начать стриминг вашего прохождения!",シェアボタンでタイムアタックを配信しよう！,点击“分享”按钮，即可开始直播你的游戏过程！
LEADERBOARDS_TITLE,Leaderboards,Classements,Bestenlisten,Classifiche,Placares,Tablas de clasificación,Таблицы рекордов,ランキングボード,排行榜
LEADERBOARDS_GLOBAL,Global,Mondial,Global,Global,Global,Global,Весь мир,グローバル,全球前十
LEADERBOARDS_GLOBAL_AROUND_USER,Global Around User,Global Around User,Global Around User,Global Around User,Global Around User,Global alrededor de ti,Локально,ユーザー周辺のグローバル,全球相邻排名
LEADERBOARDS_FRIENDS_ONLY,Friends-Only,Amis uniquement,Nur Freunde,Solo amici,Apenas amigos,Solo amigos,Только друзья,フレンドのみ,好友
LEADERBOARDS_ANY_PERCENT,Any %,% indifférent,Beliebig %,Qualsiasi %,Qualquer %,Any%,Любой %,任意の%,任意%
LEADERBOARDS_100_PERCENT,100 %,100%,100 %,100%,100 %,100%,100 %,100 %,100%
LEADERBOARDS_LOW_PERCENT,Low %,% faible,Niedrig %,Bassa %,Baixa %,Bajo%,Низкий %,低い%,最低%
LEADERBOARDS_DEATHS,Deaths,Morts,Tode,Morti,Mortes,Muertes,Смерти,死亡回数,死亡次数
LEADERBOARDS_NAME,Name,Nom,Name,Nome,Nome,Nombre,Имя,名前,昵称
LEADERBOARDS_PREVIOUS,Previous,Précédente,Vorherige,Precedente,Anterior,Anterior,Предыдущий,前へ,向前翻页
LEADERBOARDS_NEXT,Next,Suivante,Nächste,Successiva,Próximo,Siguiente,Следующий,次へ,向后翻页
PS4_SAVE_CORRUPTED,"SAVE DATA CORRUPTED!
 
Save games and settings are corrupted and cannot be loaded.
 
Please use the PlayStation®4 system software to delete the corrupted save data and start over.","DONNÉES DE SAUVEGARDE CORROMPUES !
 
Les données de sauvegarde et les paramètres sont corrompus et ne peuvent être chargés.
 
Veuillez utiliser le logiciel du système PlayStation®4 pour supprimer les données de sauvegarde corrompues et recommencez.","GESPEICHERTE DATEN FEHLHERHAFT!
 
Spielstände und Einstellungen sind fehlerhaft und können nicht geladen werden.
 
Benutze die PlayStation®4-Systemsoftware, um die fehlerhaften Spielstände zu löschen und neu zu beginnen.","DATI SALVATI DANNEGGIATI!
  
I salvataggi e le impostazioni sono danneggiati e non possono essere caricati.
  
Utilizza il software di sistema di PlayStation®4 per eliminare i dati salvati danneggiati e ricominciare.","DADOS SALVOS CORROMPIDOS!
  
Dados salvos e configurações foram corrompidos e não podem ser carregados.
  
Utilize o software de sistema do PlayStation®4 para apagar os dados salvos corrompidos e começar de novo.","¡ARCHIVO DE GUARDADO CORRUPTO!
  
Las partidas y configuraciones guardadas se corrompieron y no pueden cargarse.
  
Usa el software del sistema PlayStation®4 para eliminar los datos corruptos y vuelve a empezar.","СОХРАНЕНИЕ ПОВРЕЖДЕНО!
 
Сохраненные игры и настройки повреждены и не могут быть загружены.
 
Пожалуйста, используйте системные средства PlayStation®4, чтобы удалить поврежденные данные и начать сначала.","セーブデータが破損しています！
 
ゲームと設定のセーブ内容が破損しているため
読み込むことができません。
 
PlayStation®4のシステムソフトウェアを使って
破損したセーブデータを削除し、最初からやり直してください。","存档数据损坏！

游戏存档和设置损坏，无法加载。

请使用PlayStation®4的系统软件删除损坏存档，重新开始。"
PS4_OUT_OF_SPACE,"OUT OF SPACE!
 
Please use the PlayStation®4 system software to free up space for Axiom Verge save data.","ESPACE INSUFFISANT !
 
Veuillez utiliser le logiciel du système PlayStation®4 pour libérer de l'espace pour les données de sauvegarde d'Axiom Verge.","KEIN SPEICHERPLATZ!
 
Benutze die PlayStation®4-Systemsoftware, um Platz für die Axiom-Verge-2-Spielstände zu schaffen.","SPAZIO ESAURITO!
  
Utilizza il software di sistema di PlayStation®4 per liberare spazio per i dati salvati di Axiom Verge 2.","SEM ESPAÇO!
  
Utilize o software de sistema do PlayStation®4 para liberar espaço para os dados salvos do Axiom Verge 2.","¡SIN ESPACIO!
  
Usa el software del sistema PlayStation®4 para liberar espacio para los datos de guardado de Axiom Verge 2.","НЕДОСТАТОЧНО МЕСТА!
 
Пожалуйста, используйте системные средства PlayStation®4, чтобы освободить место для сохранений Axiom Verge 2.","空き容量がありません！
 
PlayStation®4のシステムソフトウェアを使用して、
Axiom Vergeのセーブデータの容量を確保してください。","空间不足！

请使用PlayStation®4的系统软件腾出足够的空间，以便容纳《公理边缘2》的存档数据。"
ACTION_UP,Up,Haut,Hoch,Su,Cima,Arriba,Вверх,上,上
ACTION_DOWN,Down,Bas,Runter,Giù,Baixo,Abajo,Вниз,下,下
ACTION_LEFT,Left,Gauche,Links,Sinistra,Esquerda,Izquierda,Влево,左,左
ACTION_RIGHT,Right,Droite,Rechts,Destra,Direita,Derecha,Вправо,右,右
ACTION_JUMP,Jump,Saut,Springen,Salta,Pular,Saltar,Прыжок,ジャンプ,跳跃
ACTION_FLASHLIGHT,Flashlight,Lampe torche,Taschenlampe,Torcia,Lanterna,Linterna,Фонарик,フラッシュライト,手电筒
ACTION_ITEM1,Item 1,Objet 1,Gegenstand 1,Oggetto 1,Item 1,Objeto 1,Предмет 1,アイテム１,物品1
ACTION_ITEM2,Item 2,Objet 2,Gegenstand 2,Oggetto 2,Item 2,Objeto 2,Предмет 2,アイテム２,物品2
ACTION_ITEM3,Item 3,Objet 3,Gegenstand 3,Oggetto 3,Item 3,Objeto 3,Предмет 3,アイテム３,物品3
ACTION_ITEM4,Item 4,Objet 4,Gegenstand 4,Oggetto 4,Item 4,Objeto 4,Предмет 4,アイテム４,物品4
ACTION_ITEM5,Item 5,Objet 5,Gegenstand 5,Oggetto 5,Item 5,Objeto 5,Предмет 5,アイテム５,物品5
ACTION_MENU,Menu,Menu,Menü,Menu,Menu,Menú,Меню,メニュー,菜单
ACTION_MAP,Map,Carte,Karte,Mappa,Mapa,Mapa,Карта,マップ,地图
ACTION_GLITCHBOMB,Addr. Bomb,Bombe adr.,Anw.-Bombe,Bomba dir.,Bomba dir.,Dirección bomba,Направленная бомба,アドレスボム,地址炸弹
ACTION_LOCKPOSITION,Lock Position,Verrouiller position,Position halten,Blocca posizione,Travar posiçäo,Fijar posición,Закрепить позицию,ポジション固定,锁定位置
ACTION_DRILL,Drill,Foreuse,Bohrer,Trivella,Furadeira,Taladro,Бур,ドリル,钻
ACTION_ITEMSELECT,Select Item,Sélectionner un objet,"Gegenstand
auswählen",Seleziona oggetto,Selecionar item,Elegir objeto,Выбрать предмет,アイテム選択,选择物品
ACTION_USESELECTED,Use Item,Utiliser l'objet,"Ausgewählten
verwenden","Usa oggetto
selezionato",Usar item,Usar selección,"Использовать 
выбранное",使用,使用物品
ACTION_INVENTORYLEFT,Menu L,Menu G,Menü L,Menu S,Menu E,Menú izq.,Меню слева,メニュー Ｌ,菜单左
ACTION_INVENTORYRIGHT,Menu R,Menu D,Menü R,Menu D,Menu D,Menú der.,Меню справа,メニュー Ｒ,菜单右
ACTION_MAPLEFT,Map L,Carte G,Karte L,Mappa S,Mapa E,Mapa izq.,Карта слева,マップ Ｌ,地图左
ACTION_MAPRIGHT,Map R,Carte D,Karte R,Mappa D,Mapa D,Mapa der.,Карта справа,マップ Ｒ,地图右
ACTION_OK,Confirm,Confirmer,Bestätigen,Conferma,Confirmar,Confirmar,Принять,決定,确认
ACTION_CANCEL,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,Отмена,キャンセル,取消
ACTION_AIMUP,Aim Up,Viser vers le haut,Nach oben zielen,Mira Su,Mirar para cima,Apuntar arriba,Прицел вверх,照準 上,向上瞄准
ACTION_AIMDOWN,Aim Down,Viser vers le bas,Nach unten zielen,Mira Giù,Mirar para baixo,Apuntar abajo,Прицел вниз,照準 下,向下瞄准
ACTION_AIMLEFT,Aim Left,Viser vers la gauche,Nach links zielen,Mira Sinistra,Mirar para a esquerda,Apuntar izquierda,Прицел влево,照準 左,向左瞄准
ACTION_AIMRIGHT,Aim Right,Viser vers la droite,Nach rechts zielen,Mira Destra,Mirar para a direita,Apuntar derecha,Прицел вправо,照準 右,向右瞄准
ACTION_WEAPONQUICKSELECT1,QSelect 1,SélectionR 1,Schn.-Ausw. 1,SelRap 1,Sel. rápida 1,Elección rápida 1,Б. выбор 1,クイック選択１,快捷选择1
ACTION_WEAPONQUICKSELECT2,QSelect 2,SélectionR 2,Schn.-Ausw. 2,SelRap 2,Sel. rápida 2,Elección rápida 2,Б. выбор 2,クイック選択２,快捷选择2
ACTION_WEAPONQUICKSELECT3,QSelect 3,SélectionR 3,Schn.-Ausw. 3,SelRap 3,Sel. rápida 3,Elección rápida 3,Б. выбор 3,クイック選択３,快捷选择3
ACTION_WEAPONQUICKSELECT4,QSelect 4,SélectionR 4,Schn.-Ausw. 4,SelRap 4,Sel. rápida 4,Elección rápida 4,Б. выбор 4,クイック選択４,快捷选择4
ACTION_WEAPONQUICKSELECT5,QSelect 5,SélectionR 5,Schn.-Ausw. 5,SelRap 5,Sel. rápida 5,Elección rápida 5,Б. выбор 5,クイック選択５,快捷选择5
ACTION_WEAPONQUICKSELECT6,QSelect 6,SélectionR 6,Schn.-Ausw. 6,SelRap 6,Sel. rápida 6,Elección rápida 6,Б. выбор 6,クイック選択６,快捷选择6
ACTION_WEAPONQUICKSELECT7,QSelect 7,SélectionR 7,Schn.-Ausw. 7,SelRap 7,Sel. rápida 7,Elección rápida 7,Б. выбор 7,クイック選択７,快捷选择7
ACTION_WEAPONQUICKSELECT8,QSelect 8,SélectionR 8,Schn.-Ausw. 8,SelRap 8,Sel. rápida 8,Elección rápida 8,Б. выбор 8,クイック選択８,快捷选择8
ACTION_WEAPONQUICKSELECT9,QSelect 9,SélectionR 9,Schn.-Ausw. 9,SelRap 9,Sel. rápida 9,Elección rápida 9,Б. выбор 9,クイック選択９,快捷选择9
ACTION_WEAPONQUICKSELECT10,QSelect 10,SélectionR 10,Schn.-Ausw. 10,SelRap 10,Sel. rápida 10,Elección rápida 10,Б. выбор 10,クイック選択１０,快捷选择10
ACTION_UNKNOWN_1,Unknown 1,Inconnu 1,Unbek. 1,Sconosciuto 1,Desconhecido 1,Desconocido 1,Неизвестно 1,アンノウン１,未知1
ACTION_UNKNOWN_2,Unknown 2,Inconnu 2,Unbek. 2,Sconosciuto 2,Desconhecido 2,Desconocido 2,Неизвестно 2,アンノウン２,未知2
ACTION_UNKNOWN_3,Cancel/Unknown 3,Annuler/Inconnu 3,Abbrechen/Unbek. 3,Annulla/Sconosciuto 3,Cancelar/Desconhecido 3,Cancelar/Desconocido 3,Отмена/Неизвестно 3,キャンセル／アンノウン３,取消/未知3
ACTION_UNKNOWN_4,Unknown 4,Inconnu 4,Unbek. 4,Sconosciuto 4,Desconhecido 4,Desconocido 4,Неизвестно 4,アンノウン４,未知4
INPUT_TITLE,Input Config,Commandes,TASTENBELEGUNG,Configurazione comandi,Configuração de controle,Config. de controles,Настройки ввода,入力コンフィグ,键位设置
INPUT_SAVE,Apply,Appliquer,Anwenden,Applica,Aplicar,Aplicar,Принять,有効にする,应用
INPUT_DEFAULTS,Defaults,Par défaut,Standard,Predefiniti,Padrão,Valores predeterminados,По умолчанию,デフォルト,默认配置
INPUT_CANCEL,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,Отмена,キャンセル,取消
INPUT_HELP_SAVE,Apply Changes and Continue,Appliquer les modifications et continuer,Änderungen anwenden und weiter,Applica le modifiche e continua,Aplicar as mudanças e continuar,Aplicar cambios y continuar,Принять изменения и продолжить,変更を有効にして続ける,应用变更，然后继续
INPUT_HELP_DEFAULTS,Restore Defaults,Restaurer les paramètres par défaut,Standard wiederherstellen,Ripristina predefiniti,Restaurar padräo,Restaurar valores predeterminados,Вернуть по умолчанию,デフォルト設定に戻す,恢复默认配置
INPUT_HELP_CANCEL,Revert to Previous Settings and Exit,Rétablir les anciens paramètres et quitter,Zu vorherigen Einstellungen und abbrechen,Torna alle impostazioni precedenti ed esci,Voltar para as configurações anteriores e sair,Revertir a la configuración anterior y salir,Вернуть предыдущие настройки и выйти,前回の設定に戻して終了,恢复前一套配置，然后退出
INPUT_HELP_MAP,Press the Button You Wish to Use,Appuyez sur la touche que vous souhaitez utiliser,"Drücke die Taste, die du verwenden möchtest",Premi il tasto che vuoi utilizzare,Aperte o botão que deseja usar,Oprime el botón que deseas usar,"Нажмите кнопку, которую хотите использовать",使用したいボタンを押す,按下你想设置的按键
MB_OK,Ok,Ok,Ok,Ok,Ok,Aceptar,Ок,ＯＫ,好
MB_YES,Yes,Oui,Ja,Sì,Sim,Sí,Да,はい,肯定
MB_NO,No,Non,Nein,No,Não,No,Нет,いいえ,否定
MB_CANCEL,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,Отмена,キャンセル,取消
MAP_TITLE,Map,Carte,Karte,Mappa,Mapa,Mapa,Карта,マップ,地图
INVENTORY_TITLE,INVENTORY,INVENTAIRE,INVENTAR,INVENTARIO,INVENTÁRIO,INVENTARIO,ИНВЕНТАРЬ,インベントリ,物品栏
NOTES_TITLE,NOTES,NOTES,NOTIZEN,NOTE,ANOTAÇÕES,NOTAS,ЗАМЕТКИ,ノート,文字记录
PASSWORD_TITLE,PASSWORD,MOT DE PASSE,PASSWORT,PASSWORD,SENHA,CONTRASEÑA,ПАРОЛЬ,パスワード,密码
CODES_TITLE,CODES,CODES,CODES,CODICI,CÓDIGOS,CÓDIGOS,КОДЫ,コード,密码
ENTER_PASSCODE_TITLE,ENTER PASSCODE,SAISIR MOT DE PASSE,PASSWORT EINGEBEN,INSERISCI PASSWORD,INSIRA A SENHA,ESCRIBIR CLAVE,ВВОД ПАРОЛЯ,パスコードを入力,输入密码
PASSWORD_ACTIVATE,Activate,Activer,Aktivieren,Attiva,Ativar,Activar,Активировать,アクティブ化,启动
PASSWORD_DEACTIVATE,Deactivate,Désactiver,Deaktivieren,Disattiva,Desativar,Desactivar,Деактивировать,非アクティブ化,关停
PASSWORD_EDIT,Edit,Éditer,Bearbeiten,Modifica,Editar,Editar,Редактировать,編集,编辑
PASSWORD_CLEAR,Clear,Effacer,Löschen,Cancella,Limpar,Borrar,Очистить,クリア,清空
PASSWORD_EXIT,EXIT,QUITTER,BEENDEN,ESCI,SAIR,SALIR,ВЫХОД,終了,退出
PASSWORD_END,SAVE,SAUVEGARDER,SPEICHERN,SALVA,SALVAR,GUARDAR,СОХРАНИТЬ,保存,保存
PASSCODE_DISABLE_TROPHIES,This will disable your ability to collect trophies with this save. Continue?,Cela vous empêchera de débloquer des trophées avec cette sauvegarde. Continuer ?,"Dies schaltet die Möglichkeit ab, in diesem Spielstand Trophäen zu sammeln. Weiter?",Questo salvataggio disattiverà l'abilità di collezionare trofei. Continuare?,Esta ação desabilitará a obtenção de troféus neste jogo. Continuar?,No podrás obtener trofeos con esta partida. ¿Continuar?,Это отключит возможность получать призы с этим сохранением. Продолжить?,"この保存を行うことでトロフィーが
収集できなくなりますが続けますか？",这个存档将无法收集奖杯，确定继续？
