Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
ULGISHRU_DESCRIPTION,Connects with melee attacks for additional damage.,Se connecte aux attaques en mêlée pour plus de dégâts.,Verbindet sich mit Nahkampfangriffen für zusätzlichen Schaden.,Si associa agli attacchi in mischia per generare danno aggiuntivo.,"Quando o bumerangue está no ar, apertar o botão de ataque o faz lançar um raio que causa dano adicional.",Se activa con los ataques cuerpo a cuerpo para infligir más daño.,В связке с ближними атаками дает дополнительный урон.,근접 공격과 연계되어 추가 피해를 입칩니다.,掷出之后，按下近战攻击按钮，能够造成额外的伤害。
ARMANUMAN_NAME,Anuman,Anuman,Anuman,Anuman,Anuman,Anuman,Ануман,아누만,阿努曼
ARMANUMAN_DESCRIPTION,Allows you to transform from drone to humanoid and back.,Permet de passer entre les formes drone et humanoïde.,Erlaubt dir die Verwandlung von einer Drohne zu einem Humanoiden und zurück.,Ti consente di trasformarti da drone a umanoide e viceversa.,Permite transformar-se de drone para humanoide e vice-versa.,Te permite cambiar de forma entre dron y humanoide.,Позволяет превращаться в дрона и обратно.,드론과 인간형 간의 상호 변신을 가능케 합니다.,令你能够在无人机形态和人形之间切换。
ARMAMASHILAMA_NAME,Amashilama,Amashilama,Amashilama,Amashilama,Amashilama,Amashilama,Амашилама,아마시라마,阿玛希拉玛
ARMAMASHILAMA_DESCRIPTION,An intelligent entity that has healed you and now lives inside your head.,Une entité intelligence qui vous a prodigué des soins et qui vit désormais dans votre esprit.,"Ein intelligentes Wesen, das dich geheilt hat und nun in deinem Kopf lebt.",Un'entità intelligente che ti ha curato e ora vive dentro la tua testa.,Uma entidade inteligente que vive em sua cabeça após ter curado você.,Una entidad inteligente que te curó y ahora vive en tu cabeza.,"Разумное существо, вылечившее вас и поселившееся у вас в голове.",당신의 신체를 치료하고 현재 당신의 머릿속에 공존하고 있는 지성체입니다.,一个具备智能的存在，治好了你的伤病，如今活在你的脑中。
ARMBARASH_NAME,Barash,Barash,Barash,Barash,Barash,Barash,Бараш,바라시,巴拉什
ARMBARASH_DESCRIPTION,Your drone can hover by pressing and holding jump in in the air.,Votre drone peut voler en maintenant appuyé sur saut dans les airs.,"Deine Drohne kann schweben, indem du in der Luft Springen drückst und gedrückt hältst.",Il tuo drone può volare mantenendo premuto il tasto 'salto' in aria.,Seu drone pode flutuar ao pressionar e segurar o botão de pulo quando estiver no ar.,Tu dron puede planear al oprimir y mantener el botón de salto en el aire.,Ваш дрон может парить при удерживании кнопки прыжка после самого прыжка.,공중에서 점프 버튼을 누르고 있으면 드론이 부유 이동할 수 있습니다.,你的无人机在空中时，按住跳跃按钮，它就能悬浮在空中。
ARMDUN_NAME,Dun,Dun,Dun,Dun,Dun,Dun,Дун,둔,敦
ARMDUN_DESCRIPTION,Allows fast travel to save points (use the Map screen),Permet de voyager rapidement vers les points de sauvegarde (utiliser la Carte),Erlaubt Schnellreisen zu Speicherpunkten (benutze den Kartenbildschirm),Permette di spostarsi rapidamente verso i punti di salvataggio (usando la mappa),Permite realizar viagens rápidas aos pontos de salvamento (use a tela do Mapa),Permite el viaje rápido entre puntos de guardado (en la interfaz del mapa).,Позволяет быстро перемещаться к безопасным зонам (с помощью Карты).,세이브 포인트로 즉시 이동할 수 있습니다. (지도 화면에서 사용 가능),能够让你在各个存档点之间快速移动（需要打开地图界面）
ARMESKIRI_NAME,Eskiri,Eskiri,Eskiri,Eskiri,Eskiri,Eskiri,Эскири,에스키리,埃斯基利
ARMESKIRI_DESCRIPTION,Your drone fires a hook that can slingshot it over unreachable ledges.,Votre drone tire un crochet qu'il peut catapulter par-dessus les rebords inaccessibles.,"Deine Drohne feuert einen Haken ab, der sie über unerreichbare Vorsprünge schleudern kann.",Il tuo drone spara un gancio che lo può catapultare su sporgenze altrimenti irraggiungibili.,Seu drone dispara um gancho que pode lançá-lo a lugares inalcançáveis.,Tu dron dispara un gancho que puede lanzarlo hasta cornisas inalcanzables.,"Ваш дрон выпускает крюк, способный перенести его через необъятные пропасти.",드론이 훅을 발사해 닿지 않는 절벽 너머로 날아갈 수 있게 해줍니다.,你的无人机能够发射抓钩，从而到达原本无法到达的地方。
ARMGUDANNA_NAME,Gud An-Na,Gud An-Na,Gud An-Na,Gud An-Na,Gud An-Na,Gud An-Na,Гуд Ан-На,구드 안나,古得安纳
ARMGUDANNA_DESCRIPTION,You explode with a shockwave that shakes the earth.,Vous explosez dans une onde de choc qui secoue la terre.,"Du explodierst mit einer Schockwelle, die die Erde erschüttert.",Esplodi con un'onda d'urto che fa tremare la terra.,Você explode em uma onda de choque que causa tremores.,Explotas y emites una onda expansiva que hace temblar la tierra.,"Вы детонируете, сотрясая землю.",대지를 흔드는 충격파를 수반한 폭발을 일으킵니다.,你会爆炸，同时产生震天撼地的冲击波。
ARMHAS_NAME,Hash,Hachage,Hash,Hash,Hash,Hash,Хаш,하쉬,哈什
ARMHAS_DESCRIPTION,Allows your drone to enter Breach portals.,Permet à votre drone d'entrer dans les Portails de la Brèche.,"Erlaubt deiner Drohne, Bruch-Portale zu betreten.",Permette al tuo drone di entrare nei portali di breccia.,Permite que seu drone entre em portais de ruptura.,Le permite a tu dron ingresar en portales de la Brecha.,Дает вашему дрону возможность заходить в порталы разлома.,드론이 브리치 포털에 진입할 수 있도록 합니다.,让你的无人机进入隙界传送门。
ARMHALAM_NAME,Halam,Halam,Halam,Halam,Halam,Halam,Халам,하람,哈拉穆
ARMHALAM_DESCRIPTION,Allows you to exit the Breach at any point.,Permet de sortir de la Brèche à tout moment.,"Erlaubt es dir, den Bruch an einem beliebigen Punkt zu verlassen.",Ti permette di uscire dalla Breccia in qualsiasi momento.,Permite que você saia da Ruptura a qualquer momento.,Te permite abandonar la Brecha en cualquier momento.,Дает вашему дрону возможность выходить из порталов разлома в любой момент.,어느 위치에서든 브리치 밖으로 탈출할 수 있게 합니다.,可以让你随时可以离开隙界。
ARMIMDUGBIR_NAME,Imdug Bir,Imdug Bir,Imdug Bir,Imdug Bir,Imdug Bir,Imdug Bir,Имдуг Бир,임두그 비르,因杜戈毕尔
ARMIMDUGBIR_DESCRIPTION,Hold the button to charge up your slingshot when hooked. Release to launch at your foes.,Maintenez le bouton pour charger la catapulte quand crocheté. Relâchez pour projeter sur les ennemis.,"Halte die Taste gedrückt, um deine Schleuder aufzuladen, wenn du am Haken hängst. Lass los, um auf deine Feinde zu schießen.",Tieni premuto per caricare la catapulta una volta agganciata. Lascia per lanciarla contro i tuoi nemici.,"Segure o botão para carregar o gancho, solte para se lançar nos inimigos",Mantén oprimido el botón para cargar la honda mientras te sujetas con el gancho. Suéltalo para lanzarte hacia tus enemigos.,"Вися на крючке, удерживайте кнопку, чтобы зарядить вашу пращу. Отпустите, чтобы выстрелить в противника.","훅을 건 상태에서 버튼을 지속해 충전한 뒤, 버튼을 떼면 적을 겨냥해 사출할 수 있습니다.",抓钩固定之后，按住“抓钩”按钮可以逐渐拉紧缆绳，松开按钮之后，你会像炮弹一样发射出去。
ARMKI_NAME,Ki’Inimak,Ki’Inimak,Ki’Inimak,Ki’Inimak,Ki’Inimak,Ki’Inimak,Ки’инимак,키 이니마크,基因尼玛柯
ARMKI_DESCRIPTION,Allows you to see into the Breach and enter hidden Breach portals.,Permet de voir à travers la Brèche et de pénétrer dans les Portails cachés de la Brèche.,"Erlaubt dir, in den Bruch zu sehen und versteckte Bruch-Portale zu betreten.",Ti permette di guardare nella Breccia ed entrare in portali di breccia nascosti.,Permite que você veja através da Ruptura e entre em portais de ruptura ocultos.,Te permite ver dentro de la Brecha y entrar a los portales ocultos de la Brecha.,Позволяет заглядывать в Разлом и входить в скрытые порталы.,브리치 내부를 들여다보고 숨겨진 브리치 포털로 들어갈 수 있습니다.,让你能够看到隙界内部，而且可以进入隐藏的隙界传送门。
ARMLIRU_NAME,Liru,Liru,Liru,Liru,Liru,Liru,Лиру,리루,利鲁
ARMLIRU_DESCRIPTION,Enables you to move and jump more freely underwater.,Vous permet de vous déplacer et de sauter plus aisément sous l'eau.,"Erlaubt dir, dich unter Wasser freier zu bewegen und zu springen.",Ti permette di muoverti e saltare più liberamente sott'acqua.,Permite que você se mova e salte com mais liberdade na água.,Te permite moverte y saltar con mayor libertad debajo del agua.,Позволяет свободнее двигаться и прыгать под водой.,수중에서 훨씬 자유롭게 기동하고 도약할 수 있습니다.,你能够在水下更加自由地移动和跳跃。
ARMMUSHHUS_NAME,Mushhus,Mushhus,Mushhus,Mushhus,Mushhus,Mushhus,Мушхус,무슈후스,穆舒斯
ARMMUSHHUS_DESCRIPTION,Allows you to infect enemies and objects to modify their behavior.,Vous permet d'infecter les ennemis et les objets pour modifier leur comportement.,"Erlaubt dir, Gegner und Objekte zu infizieren, um ihr Verhalten zu verändern.",Ti permette di infettare nemici e oggetti per modificare il loro comportamento.,Permite que você infecte objetos e inimigos para modificar o comportamento deles.,Te permite infectar enemigos y objetos y modificar su comportamiento.,"Позволяет взаимодействовать с противниками и предметами, чтобы изменить их поведение.",적과 사물들을 해킹하여 그들의 행동 양식을 조작할 수 있게 합니다.,让你能够感染敌方和物体，进而改变他们的行为。
ARMMUSHHUSDRONE_NAME,Mushhus,Mushhus,Mushhus,Mushhus,Mushhus,Mushhus,Мушхус,무슈후스,穆舒斯
ARMMUSHHUSDRONE_DESCRIPTION,Allows you to infect enemies and objects to modify their behavior.,Vous permet d'infecter les ennemis et les objets pour modifier leur comportement.,"Erlaubt dir, Feinde und Objekte zu infizieren, um ihr Verhalten zu modifizieren.",Ti permette di infettare nemici e oggetti per modificare il loro comportamento.,Permite que você infecte objetos e inimigos para modificar o comportamento deles.,Te permite infectar enemigos y objetos y modificar su comportamiento.,"Позволяет взаимодействовать с противниками и предметами, чтобы изменить их поведение.",적과 사물들을 해킹하여 그들의 행동 양식을 조작할 수 있게 합니다.,让你能够感染敌方和物体，进而改变他们的行为。
ARMNINHURSAG_NAME,Ninhursag,Ninhursag,Ninhursag,Ninhursag,Ninhursag,Ninhursag,Нинхурсаг,닌후르사그,宁胡尔萨格
ARMNINHURSAG_DESCRIPTION,Allows you to climb vertical walls.,Vous permet d'escalader les parois verticales.,"Erlaubt dir, vertikale Wände zu erklimmen.",Ti permette di scalare pareti verticali.,Permite que você escale paredes verticais.,Te permite escalar muros verticales.,Позволяет взбираться на вертикальные стены.,수직 벽면을 타고 오를 수 있게 합니다.,让你能够攀爬垂直的墙面。
ARMSHESHKALA_NAME,Sheshkala,Sheshkala,Sheshkala,Sheshkala,Sheshkala,Sheshkala,Шешкала,셰슈칼라,谢什卡拉
ARMSHESHKALA_DESCRIPTION,"Grants improved climbing ability, allowing you to grasp ledges and pull yourself up.",Donne une compétence d'escalade améliorée qui vous permet d'agripper les rebords et de vous soulever.,"Gewährt dir eine verbesserte Kletterfähigkeit, die es dir erlaubt, Vorsprünge zu ergreifen und dich hochzuziehen.","Migliora le tue abilità di scalata, permettendoti di afferrare sporgenze e tirarti su.","Melhora sua habilidade de escalada, permitindo que você agarre saliências e se puxe para cima.","Te otorga mayor capacidad para escalar, lo que te permite agarrarte de cornisas y subirlas.","Прокачивыает ваш навык альпинизма, позволяя хвататься за выступы и подтягиваться на них.",오르기 능력을 향상시켜 절벽 끝을 움켜쥐고 몸을 끌어올릴 수 있게 해줍니다.,增强你的攀爬属性，让你能够抓住垂直表面的突出部位，继续向上攀爬。
ARMTILHAR_NAME,Tilhar,Tilhar,Tilhar,Tilhar,Tilhar,Tilhar,Тилхар,틸하르,提尔哈
ARMTILHAR_DESCRIPTION,Disperse into a cloud of nanites.,Se disperse dans un nuage de nanorobots.,Löst sich in eine Wolke aus Naniten auf.,Si disperde in una nube di naniti.,Permite que você se disperse em uma nuvem de nanites.,Te dispersas en una nube de nanobots.,Позволяет распыляться в облако нанитов.,몸을 흩트려 나나이트 구름 형태로 변합니다.,可以变成云团状态的纳米机器人集群。
ARMUMAN_NAME,Damu,Damu,Damu,Damu,Damu,Damu,Даму,다무,达木
ARMUMAN_DESCRIPTION,"Fire to launch a remote drone, which you may detonate at any time to return to Indra.",Lance un drone télécommandé que vous pouvez détonner à tout moment pour reprendre le contrôle d'Indra.,"Startet nach dem Abfeuern eine ferngesteuerte Drohne, die du jederzeit zur Detonation bringen kannst, um sie zu Indra zurückzuholen.","Lancia un drone telecomandato, che puoi far detonare in qualsiasi momento per tornare a controllare Indra.","Lança um drone remoto que pode ser detonado a qualquer momento, retornando para Indra.",Usa esta habilidad para lanzar un dron remoto que puedes detonar en cualquier momento para volver a Indra.,"Выстрелите, чтобы запустить удаленного дрона, которого вы можете взорвать в любой момент и вернуться к Индре.",원격 드론을 사출합니다. 언제든지 드론을 해체하여 제어권을 인드라에게로 환원시킬 수 있습니다.,可以发射一架遥控无人机，随时可以引爆，令其回归因德拉手上。
ARMZALTU_NAME,Zal Tu,Zal Tu,Zal Tu,Zal Tu,Zal Tu,Zal Tu,Зал Ту,잘 투,扎尔图
ARMZALTU_DESCRIPTION,Your drone becomes a formidable weapon when launched with Eskiri.,Vos drones deviennent des armes prodigieuses quand vous les lancez avec Eskiri.,"Deine Drohne wird zu einer gewaltigen Waffe, wenn sie mit Eskiri gestartet wird.",Il tuo drone diventa un'arma formidabile quando viene lanciato con Eskiri.,Seu drone se torna uma arma formidável quando lançado com Eskiri.,Tu dron se convierte en un arma formidable cuando lo lanzas con Eskiri.,"Ваш дрон становится смертельным оружием, если запущен вместе с Эскири.",에스키리와 함께 사용할 때 드론이 가공할 만한 무기로 돌변합니다.,你的无人机配有埃斯基利之后，可以成为强大的武器。
COMPASS_NAME,Compass,Boussole,Kompass,Bussola,Bússola,Brújula,Компас,나침반,罗盘
COMPASS_DESCRIPTION,"A lapis lazuli pendant that is lit up on one side, as if pointing like a compass.","Un pendentif en lapis-lazuli qui scintille d'un côté, comme s'il indiquait une direction.","Ein Lapislazuli-Anhänger, der auf einer Seite beleuchtet ist, als würde er wie ein Kompass zeigen.",Un ciondolo di lapislazzuli che si illumina da un lato e punta come fosse una bussola.,"Um pingente de lápis-lazúli que se acende no lado para o qual aponta, como uma bússola.",Un pendiente de lapislázuli con un lado iluminado que apunta como una brújula.,"Кулон из ляпис-лазури, светящийся с одной стороны и работающий на манер компаса.",나침반의 바늘처럼 한쪽 모서리가 빛나는 청라석 펜던트입니다.,青金石吊坠，一侧发光，像罗盘一样，指向某个方向。
FLASHLIGHT_NAME,Flashlight,Lampe torche,Taschenlampe,Torcia elettrica,Lanterna,Linterna,Фонарик,플래시라이트,手电筒
FLASHLIGHT_DESCRIPTION,A wearable flashlight.,Une torche de poche.,Eine tragbare Taschenlampe.,Una torcia elettrica portatile.,Uma lanterna portátil.,Una linterna que puedes llevar colgada.,Обычный карманный фонарик.,몸에 부착할 수 있는 플래시라이트.,可穿戴手电筒。
PASSWORDTOOL_NAME,Passcode Tool,Outil décrypteur,Durchgangscode-Werkzeug,Dispositivo di decrittazione,Dispositivo de código de acesso,Herramienta de claves,Пульт управления паролями,패스코드 도구,密码工具
PASSWORDTOOL_DESCRIPTION,Manipulate reality with encoded strings (use menu).,Manipule la réalité grâce à des séquences cryptées (utiliser le menu).,Manipuliert die Realität mit verschlüsselten Zeichenketten (Menü benutzen).,Manipola la realtà con stringhe codificate (usa il menu).,Manipule a realidade usando linhas de código (use o menu).,Manipula la realidad con cadenas codificadas (usa el menú).,Изменяет реальность с помощью закодированных строк (используйте меню).,부호화된 문자열을 통해 현실을 개조합니다. (메뉴에서 사용 가능),利用加密字符串操纵现实（需要打开菜单界面）。
APOCALYPSE_NODE_XL_NAME,Apocalypse Flask (XL),Fiole d'Apocalypse (XL),Apokalypse-Flasche (XL),Fiala dell'Apocalisse (XL),Garrafa do Apocalipse (XG),Frasco del Apocalipsis (XL),Фляжка Апокалипсиса (XL),아포칼립스 플라스크(XL),天启溶液（超大瓶）
