LEADERBOARDS_LOW_PERCENT,Low %,% faible,Niedrig %,Bassa %,Baixa %,Bajo%,Низкий %,Low %,最低%
LEADERBOARDS_DEATHS,Deaths,Morts,Tode,Morti,Mortes,Muertes,Смерти,Deaths,死亡次数
LEADERBOARDS_NAME,Name,Nom,Name,Nome,Nome,Nombre,Имя,Name,昵称
LEADERBOARDS_PREVIOUS,Previous,Précédente,Vorherige,Precedente,Anterior,Anterior,Предыдущий,Previous,向前翻页
LEADERBOARDS_NEXT,Next,Suivante,Nächste,Successiva,Próximo,Siguiente,Следующий,Next,向后翻页
PS4_SAVE_CORRUPTED,"SAVE DATA CORRUPTED!
 
Save games and settings are corrupted and cannot be loaded.
 
Please use the PlayStation®4 system software to delete the corrupted save data and start over.","DONNÉES DE SAUVEGARDE CORROMPUES !
 
Les données de sauvegarde et les paramètres sont corrompus et ne peuvent être chargés.
 
Veuillez utiliser le logiciel du système PlayStation®4 pour supprimer les données de sauvegarde corrompues et recommencez.","GESPEICHERTE DATEN FEHLHERHAFT!
 
Spielstände und Einstellungen sind fehlerhaft und können nicht geladen werden.
 
Benutze die PlayStation®4-Systemsoftware, um die fehlerhaften Spielstände zu löschen und neu zu beginnen.","DATI SALVATI DANNEGGIATI!
  
I salvataggi e le impostazioni sono danneggiati e non possono essere caricati.
  
Utilizza il software di sistema di PlayStation®4 per eliminare i dati salvati danneggiati e ricominciare.","DADOS SALVOS CORROMPIDOS!
  
Dados salvos e configurações foram corrompidos e não podem ser carregados.
  
Utilize o software de sistema do PlayStation®4 para apagar os dados salvos corrompidos e começar de novo.","¡ARCHIVO DE GUARDADO CORRUPTO!
  
Las partidas y configuraciones guardadas se corrompieron y no pueden cargarse.
  
Usa el software del sistema PlayStation®4 para eliminar los datos corruptos y vuelve a empezar.","СОХРАНЕНИЕ ПОВРЕЖДЕНО!
 
Сохраненные игры и настройки повреждены и не могут быть загружены.
 
Пожалуйста, используйте системные средства PlayStation®4, чтобы удалить поврежденные данные и начать сначала.","SAVE DATA CORRUPTED!
 
Save games and settings are corrupted and cannot be loaded.
 
Please use the PlayStation®4 system software to delete the corrupted save data and start over.","存档数据损坏！

游戏存档和设置损坏，无法加载。

请使用PlayStation®4的系统软件删除损坏存档，重新开始。"
PS4_OUT_OF_SPACE,"OUT OF SPACE!
 
Please use the PlayStation®4 system software to free up space for Axiom Verge save data.","ESPACE INSUFFISANT !
 
Veuillez utiliser le logiciel du système PlayStation®4 pour libérer de l'espace pour les données de sauvegarde d'Axiom Verge.","KEIN SPEICHERPLATZ!
 
Benutze die PlayStation®4-Systemsoftware, um Platz für die Axiom-Verge-2-Spielstände zu schaffen.","SPAZIO ESAURITO!
  
Utilizza il software di sistema di PlayStation®4 per liberare spazio per i dati salvati di Axiom Verge 2.","SEM ESPAÇO!
  
Utilize o software de sistema do PlayStation®4 para liberar espaço para os dados salvos do Axiom Verge 2.","¡SIN ESPACIO!
  
Usa el software del sistema PlayStation®4 para liberar espacio para los datos de guardado de Axiom Verge 2.","НЕДОСТАТОЧНО МЕСТА!
 
Пожалуйста, используйте системные средства PlayStation®4, чтобы освободить место для сохранений Axiom Verge 2.","OUT OF SPACE!
 
Please use the PlayStation®4 system software to free up space for Axiom Verge save data.","空间不足！

请使用PlayStation®4的系统软件腾出足够的空间，以便容纳《公理边缘2》的存档数据。"
ACTION_UP,Up,Haut,Hoch,Su,Cima,Arriba,Вверх,Up,上
ACTION_DOWN,Down,Bas,Runter,Giù,Baixo,Abajo,Вниз,Down,下
ACTION_LEFT,Left,Gauche,Links,Sinistra,Esquerda,Izquierda,Влево,Left,左
ACTION_RIGHT,Right,Droite,Rechts,Destra,Direita,Derecha,Вправо,Right,右
ACTION_JUMP,Jump,Saut,Springen,Salta,Pular,Saltar,Прыжок,Jump,跳跃
ACTION_FLASHLIGHT,Flashlight,Lampe torche,Taschenlampe,Torcia,Lanterna,Linterna,Фонарик,Flashlight,手电筒
ACTION_ITEM1,Item 1,Objet 1,Gegenstand 1,Oggetto 1,Item 1,Objeto 1,Предмет 1,Item 1,物品1
ACTION_ITEM2,Item 2,Objet 2,Gegenstand 2,Oggetto 2,Item 2,Objeto 2,Предмет 2,Item 2,物品2
ACTION_ITEM3,Item 3,Objet 3,Gegenstand 3,Oggetto 3,Item 3,Objeto 3,Предмет 3,Item 3,物品3
ACTION_ITEM4,Item 4,Objet 4,Gegenstand 4,Oggetto 4,Item 4,Objeto 4,Предмет 4,Item 4,物品4
ACTION_ITEM5,Item 5,Objet 5,Gegenstand 5,Oggetto 5,Item 5,Objeto 5,Предмет 5,Item 5,物品5
ACTION_MENU,Menu,Menu,Menü,Menu,Menu,Menú,Меню,Menu,菜单
ACTION_MAP,Map,Carte,Karte,Mappa,Mapa,Mapa,Карта,Map,地图
ACTION_GLITCHBOMB,Addr. Bomb,Bombe adr.,Anw.-Bombe,Bomba dir.,Bomba dir.,Dirección bomba,Направленная бомба,Addr. Bomb,地址炸弹
ACTION_LOCKPOSITION,Lock Position,Verrouiller position,Position halten,Blocca posizione,Travar posiçäo,Fijar posición,Закрепить позицию,Lock Position,锁定位置
ACTION_DRILL,Drill,Foreuse,Bohrer,Trivella,Furadeira,Taladro,Бур,Drill,钻
ACTION_ITEMSELECT,Select Item,Sélectionner un objet,"Gegenstand
auswählen",Seleziona oggetto,Selecionar item,Elegir objeto,Выбрать предмет,Select Item,选择物品
ACTION_USESELECTED,Use Item,Utiliser l'objet,"Ausgewählten
verwenden","Usa oggetto
selezionato",Usar item,Usar selección,"Использовать 
выбранное",Use Item,使用物品
ACTION_INVENTORYLEFT,Menu L,Menu G,Menü L,Menu S,Menu E,Menú izq.,Меню слева,Menu L,菜单左
ACTION_INVENTORYRIGHT,Menu R,Menu D,Menü R,Menu D,Menu D,Menú der.,Меню справа,Menu R,菜单右
ACTION_MAPLEFT,Map L,Carte G,Karte L,Mappa S,Mapa E,Mapa izq.,Карта слева,Map L,地图左
ACTION_MAPRIGHT,Map R,Carte D,Karte R,Mappa D,Mapa D,Mapa der.,Карта справа,Map R,地图右
ACTION_OK,Confirm,Confirmer,Bestätigen,Conferma,Confirmar,Confirmar,Принять,Confirm,确认
ACTION_CANCEL,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,Отмена,Cancel,取消
ACTION_AIMUP,Aim Up,Viser vers le haut,Nach oben zielen,Mira Su,Mirar para cima,Apuntar arriba,Прицел вверх,Aim Up,向上瞄准
ACTION_AIMDOWN,Aim Down,Viser vers le bas,Nach unten zielen,Mira Giù,Mirar para baixo,Apuntar abajo,Прицел вниз,Aim Down,向下瞄准
ACTION_AIMLEFT,Aim Left,Viser vers la gauche,Nach links zielen,Mira Sinistra,Mirar para a esquerda,Apuntar izquierda,Прицел влево,Aim Left,向左瞄准
ACTION_AIMRIGHT,Aim Right,Viser vers la droite,Nach rechts zielen,Mira Destra,Mirar para a direita,Apuntar derecha,Прицел вправо,Aim Right,向右瞄准
ACTION_WEAPONQUICKSELECT1,QSelect 1,SélectionR 1,Schn.-Ausw. 1,SelRap 1,Sel. rápida 1,Elección rápida 1,Б. выбор 1,QSelect 1,快捷选择1
ACTION_WEAPONQUICKSELECT2,QSelect 2,SélectionR 2,Schn.-Ausw. 2,SelRap 2,Sel. rápida 2,Elección rápida 2,Б. выбор 2,QSelect 2,快捷选择2
ACTION_WEAPONQUICKSELECT3,QSelect 3,SélectionR 3,Schn.-Ausw. 3,SelRap 3,Sel. rápida 3,Elección rápida 3,Б. выбор 3,QSelect 3,快捷选择3
ACTION_WEAPONQUICKSELECT4,QSelect 4,SélectionR 4,Schn.-Ausw. 4,SelRap 4,Sel. rápida 4,Elección rápida 4,Б. выбор 4,QSelect 4,快捷选择4
ACTION_WEAPONQUICKSELECT5,QSelect 5,SélectionR 5,Schn.-Ausw. 5,SelRap 5,Sel. rápida 5,Elección rápida 5,Б. выбор 5,QSelect 5,快捷选择5
ACTION_WEAPONQUICKSELECT6,QSelect 6,SélectionR 6,Schn.-Ausw. 6,SelRap 6,Sel. rápida 6,Elección rápida 6,Б. выбор 6,QSelect 6,快捷选择6
ACTION_WEAPONQUICKSELECT7,QSelect 7,SélectionR 7,Schn.-Ausw. 7,SelRap 7,Sel. rápida 7,Elección rápida 7,Б. выбор 7,QSelect 7,快捷选择7
ACTION_WEAPONQUICKSELECT8,QSelect 8,SélectionR 8,Schn.-Ausw. 8,SelRap 8,Sel. rápida 8,Elección rápida 8,Б. выбор 8,QSelect 8,快捷选择8
ACTION_WEAPONQUICKSELECT9,QSelect 9,SélectionR 9,Schn.-Ausw. 9,SelRap 9,Sel. rápida 9,Elección rápida 9,Б. выбор 9,QSelect 9,快捷选择9
ACTION_WEAPONQUICKSELECT10,QSelect 10,SélectionR 10,Schn.-Ausw. 10,SelRap 10,Sel. rápida 10,Elección rápida 10,Б. выбор 10,QSelect 10,快捷选择10
ACTION_UNKNOWN_1,Unknown 1,Inconnu 1,Unbek. 1,Sconosciuto 1,Desconhecido 1,Desconocido 1,Неизвестно 1,Unknown 1,未知1
ACTION_UNKNOWN_2,Unknown 2,Inconnu 2,Unbek. 2,Sconosciuto 2,Desconhecido 2,Desconocido 2,Неизвестно 2,Unknown 2,未知2
ACTION_UNKNOWN_3,Cancel/Unknown 3,Annuler/Inconnu 3,Abbrechen/Unbek. 3,Annulla/Sconosciuto 3,Cancelar/Desconhecido 3,Cancelar/Desconocido 3,Отмена/Неизвестно 3,Cancel/Unknown 3,取消/未知3
ACTION_UNKNOWN_4,Unknown 4,Inconnu 4,Unbek. 4,Sconosciuto 4,Desconhecido 4,Desconocido 4,Неизвестно 4,Unknown 4,未知4
INPUT_TITLE,Input Config,Commandes,TASTENBELEGUNG,Configurazione comandi,Configuração de controle,Config. de controles,Настройки ввода,Input Config,键位设置
INPUT_SAVE,Apply,Appliquer,Anwenden,Applica,Aplicar,Aplicar,Принять,Apply,应用
INPUT_DEFAULTS,Defaults,Par défaut,Standard,Predefiniti,Padrão,Valores predeterminados,По умолчанию,Defaults,默认配置
INPUT_CANCEL,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,Отмена,Cancel,取消
INPUT_HELP_SAVE,Apply Changes and Continue,Appliquer les modifications et continuer,Änderungen anwenden und weiter,Applica le modifiche e continua,Aplicar as mudanças e continuar,Aplicar cambios y continuar,Принять изменения и продолжить,Apply Changes and Continue,应用变更，然后继续
INPUT_HELP_DEFAULTS,Restore Defaults,Restaurer les paramètres par défaut,Standard wiederherstellen,Ripristina predefiniti,Restaurar padräo,Restaurar valores predeterminados,Вернуть по умолчанию,Restore Defaults,恢复默认配置
INPUT_HELP_CANCEL,Revert to Previous Settings and Exit,Rétablir les anciens paramètres et quitter,Zu vorherigen Einstellungen und abbrechen,Torna alle impostazioni precedenti ed esci,Voltar para as configurações anteriores e sair,Revertir a la configuración anterior y salir,Вернуть предыдущие настройки и выйти,Revert to Previous Settings and Exit,恢复前一套配置，然后退出
INPUT_HELP_MAP,Press the Button You Wish to Use,Appuyez sur la touche que vous souhaitez utiliser,"Drücke die Taste, die du verwenden möchtest",Premi il tasto che vuoi utilizzare,Aperte o botão que deseja usar,Oprime el botón que deseas usar,"Нажмите кнопку, которую хотите использовать",Press the Button You Wish to Use,按下你想设置的按键
MB_OK,Ok,Ok,Ok,Ok,Ok,Aceptar,Ок,Ok,好
MB_YES,Yes,Oui,Ja,Sì,Sim,Sí,Да,Yes,肯定
MB_NO,No,Non,Nein,No,Não,No,Нет,No,否定
MB_CANCEL,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,Отмена,Cancel,取消
MAP_TITLE,Map,Carte,Karte,Mappa,Mapa,Mapa,Карта,Map,地图
INVENTORY_TITLE,INVENTORY,INVENTAIRE,INVENTAR,INVENTARIO,INVENTÁRIO,INVENTARIO,ИНВЕНТАРЬ,INVENTORY,物品栏
NOTES_TITLE,NOTES,NOTES,NOTIZEN,NOTE,ANOTAÇÕES,NOTAS,ЗАМЕТКИ,NOTES,文字记录
PASSWORD_TITLE,PASSWORD,MOT DE PASSE,PASSWORT,PASSWORD,SENHA,CONTRASEÑA,ПАРОЛЬ,PASSWORD,密码
CODES_TITLE,CODES,CODES,CODES,CODICI,CÓDIGOS,CÓDIGOS,КОДЫ,CODES,密码
ENTER_PASSCODE_TITLE,ENTER PASSCODE,SAISIR MOT DE PASSE,PASSWORT EINGEBEN,INSERISCI PASSWORD,INSIRA A SENHA,ESCRIBIR CLAVE,ВВОД ПАРОЛЯ,ENTER PASSCODE,输入密码
PASSWORD_ACTIVATE,Activate,Activer,Aktivieren,Attiva,Ativar,Activar,Активировать,Activate,启动
PASSWORD_DEACTIVATE,Deactivate,Désactiver,Deaktivieren,Disattiva,Desativar,Desactivar,Деактивировать,Deactivate,关停
PASSWORD_EDIT,Edit,Éditer,Bearbeiten,Modifica,Editar,Editar,Редактировать,Edit,编辑
PASSWORD_CLEAR,Clear,Effacer,Löschen,Cancella,Limpar,Borrar,Очистить,Clear,清空
PASSWORD_EXIT,EXIT,QUITTER,BEENDEN,ESCI,SAIR,SALIR,ВЫХОД,종료,退出
PASSWORD_END,SAVE,SAUVEGARDER,SPEICHERN,SALVA,SALVAR,GUARDAR,СОХРАНИТЬ,SAVE,保存
PASSCODE_DISABLE_TROPHIES,This will disable your ability to collect trophies with this save. Continue?,Cela vous empêchera de débloquer des trophées avec cette sauvegarde. Continuer ?,"Dies schaltet die Möglichkeit ab, in diesem Spielstand Trophäen zu sammeln. Weiter?",Questo salvataggio disattiverà l'abilità di collezionare trofei. Continuare?,Esta ação desabilitará a obtenção de troféus neste jogo. Continuar?,No podrás obtener trofeos con esta partida. ¿Continuar?,Это отключит возможность получать призы с этим сохранением. Продолжить?,This will disable your ability to collect trophies with this save. Continue?,这个存档将无法收集奖杯，确定继续？
ITEMS_TITLE,Items,Objets,Gegenstände,Oggetti,Itens,Objetos,Предметы,Items,物品
