Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
SKILL_RANGEDSPEED_DESCRIPTION,Increases speed of thrown weapons,Augmente la vitesse des armes de jet,Erhöht die Geschwindigkeit von Wurfwaffen.,Aumenta la velocità delle armi da lancio.,Aumenta a velocidade de armas arremessáveis.,Aumenta la velocidad de las armas arrojadizas.,Увеличивает скорость метательного оружия.,던지는 무기의 비행 속도를 증가시킵니다.,提升远程武器的速度。
,,,,,,,,,
SKILLCATEGORY_STEALTH_NAME,Stealth,Furtivité,Tarnung,Furtività,Furtividade,Sigilo,Скрытность,은신,潜行
SKILLCATEGORY_STEALTH_DESCRIPTION,Upgrade abiliites related to stealth.,Améliore les compétences de furtivité.,Verbessere deine Tarnfähigkeiten.,Potenzia le abilità relative alla furtività.,Aprimora habilidades relacionadas a furtividade.,Aumenta tus capacidades relacionadas con el sigilo.,"Улучшение всего, связанного со скрытностью.",은신과 관련된 능력을 강화합니다.,提升潜行的相关能力。
SKILL_CRAWLSPEED_NAME,Crawl Speed,Vitesse en rampant,Kriechgeschwindigkeit,Velocità da accovacciati,Velocidade Agachado,Velocidad de gateo,Скорость ползка,포복 속도,匍匐速度
SKILL_CRAWLSPEED_DESCRIPTION,Increases base crawling speed by 50%.,Augmente la vitesse basique du déplacement en rampant de 50 %.,Erhöht die grundlegende Krabbelgeschwindigkeit um 50 %.,Aumenta la velocità base da accovacciati del 50%.,Aumenta a velocidade ao andar agachado em 50%.,Aumenta la velocidad base al gatear un 50%.,Увеличивает скорость базового ползка на 50%.,기본 포복 속도를 50% 증가시킵니다.,令基础匍匐速度加快50%。
SKILL_BACKSTAB_NAME,Backstab,Coup de traître,Hinterhalt,Imboscata,Emboscada,Apuñalar,Удар в спину,기습 공격,背刺
SKILL_BACKSTAB_DESCRIPTION,Deal 25% extra melee damage to unaware enemies.,Inflige 25 % de dégâts en mêlée supplémentaires sur les ennemis surpris.,Verursacht 25 % zusätzlichen Nahkampfschaden an ahnungslosen Feinden.,Infligge un danno extra in mischia del 25% ai nemici ignari.,Causa 25% a mais de dano corpo a corpo em inimigos desprevenidos.,Inflige un 25% de daño adicional al atacar a enemigos desprevenidos con ataques cuerpo a cuerpo.,Наносите на 25% больше урона ничего не подозревающим противникам.,자신을 인지하지 못한 적에게 근접 공격 시 25%의 추가 피해를 줍니다.,如果敌人还没发现你，本次近战伤害增加25%。
,,,,,,,,,
SKILLCATEGORY_HACKING_NAME,Infection,Infection,Infektion,Infezione,Infecção,Infección,Заражение,감염 (해킹),感染
SKILLCATEGORY_HACKING_DESCRIPTION,Hack enemies to create different status effects.,Pirate les ennemis pour créer différents effets de statut.,"Hacke Gegner, um verschiedene Statuseffekte zu erzeugen.",Hackera i nemici per creare diversi effetti di status,Hackeia inimigos para criar diferentes efeitos.,Hackea enemigos para crear varios efectos de estado.,Взлом врагов для создания различных статус-эффектов.,적을 해킹하여 다양한 상태 이상 효과를 유도합니다.,侵入敌人的系统，造成不同的状态效果。
SKILL_NANOPOINTS_NAME,Nano Points,Nanopoints,Nanopunkte,Nanopunti,Nanopontos,Nanopuntos,Нано-очки,나노 포인트,纳米点数
SKILL_NANOPOINTS_DESCRIPTION,Adds an additional 50 nano (hacking) points,Rajoute 50 nanopoints (piratage) supplémentaires.,Fügt zusätzliche 50 Nano-(Hack)-Punkte hinzu,Aggiunge 50 nanopunti (hacking) supplementari.,Adiciona 50 nanopontos.,Agrega 50 nanopuntos adicionales (puntos de hackeo).,Добавляет дополнительные 50 нано-очков (очки взлома).,나노(해킹) 포인트 50을 추가합니다.,纳米（侵入）点数额外增加50。
SKILL_HACKINGLEVEL_NAME,Infection Level,Niveau d'infection,Infektions-Level,Livello d'infezione,Nível de Infecção,Nivel de infección,Уровень заражения,감염 레벨,感染等级
SKILL_HACKINGLEVEL_DESCRIPTION,Increase this level to infect stronger enemies.,Augmente le niveau pour infecter des ennemis plus coriaces.,"Erhöhe dieses Level, um stärkere Gegner zu infizieren.",Aumenta il livello per infettare nemici più forti.,Aumente este nível para infectar inimigos mais fortes.,Aumenta este nivel para infectar a enemigos más fuertes.,Позволяет заражать врагов посильнее.,이 레벨을 올려 더 강력한 적을 감염시킬 수 있습니다.,提升这个等级，即可感染更为强大的敌人。
SKILL_HACKINGSPEED_NAME,Infection Speed,Vitesse d'infection,Infektions-Geschwindigkeit,Velocità d'infezione,Velocidade de Infecção,Velocidad de infección,Скорость заражения,감염 속도,感染速度
SKILL_HACKINGSPEED_DESCRIPTION,Increases expansion speed,Augmente la vitesse de propagation.,Erhöht die Ausbreitungsgeschwindigkeit,Aumenta la velocità di propagazione.,Aumenta a velocidade de expansão.,Aumenta la velocidad de expansión.,Увеличивает скорость распространения.,감염(해킹) 영역의 확장 속도를 증가시킵니다.,提升扩散速度。
SKILL_HACKINGRANGE_NAME,Infection Range,Portée d'infection,Infektions-Reichweite,Raggio d'infezione,Alcance de Infecção,Rango de infección,Область заражения,감염 범위,感染范围
SKILL_HACKINGRANGE_DESCRIPTION,Increases the infection radius by 1 meter.,Augmente d'un mètre le rayon d'infection.,Erhöht den Infektionsradius um 1 Meter.,Aumenta di un metro il raggio d'infezione.,Aumenta o alcance de infecção em 1 metro.,Aumenta 1 metro el radio de infección.,Увеличивает область заражения на 1 метр.,감염 반경을 1미터 증가시킵니다.,令感染半径延长1米。
,,,,,,,,,
SKILLCATEGORY_DRONE_NAME,Drone,Drone,Drohne,Drone,Drone,Dron,Дрон,드론,无人机
SKILLCATEGORY_DRONE_DESCRIPTION,Upgrade your drone's abilities.,Améliorer les compétences de votre drone.,Verbessere die Fähigkeiten deiner Drohne.,Potenzia le abilità del tuo drone.,Aprimora as habilidades do seu drone.,Mejora las habilidades de tu dron.,Улучшение способностей вашего дрона.,드론의 능력을 강화합니다.,增强你无人机的能力。
SKILL_DRONEMELEEDAMAGE_NAME,Drone Melee Damage,Dégâts en mêlée du drone,Drohnen-Nahkampf-Schaden,Danno in mischia del drone,Dano Corpo a Corpo do Drone,Daño cuerpo a cuerpo del dron,Ближний бой дрона,드론 근접 공격력,无人机近战伤害
SKILL_DRONEMELEEDAMAGE_DESCRIPTION,Increases drone's damage,Augmente les dégâts du drone.,Erhöht den Schaden der Drohne,Aumenta il danno del drone.,Aumenta o dano causado pelo drone.,Aumenta el daño del dron.,Увеличивает урон дрона.,드론의 공격력을 증가시킵니다.,提升无人机的伤害。
SKILL_DRONEMELEESPEED_NAME,Drone Melee Speed,Vitesse en mêlée du drone,Drohne Nahkampf-Geschwindigkeit,Velocità in mischia del drone,Velocidade Corpo a Corpo do Drone,Velocidad cuerpo a cuerpo del dron,Скорость ближнего боя дрона,드론 근접 속도,无人机近战速度
SKILL_DRONEMELEESPEED_DESCRIPTION,Increases drone's attack speed,Augmente la vitesse d'attaque du drone.,Erhöht die Angriffsgeschwindigkeit der Drohne,Aumenta la velocità d'attacco del drone.,Aumenta a velocidade de ataque do drone.,Aumenta la velocidad de ataque del dron.,Увеличивает скорость атаки дрона.,드론의 공격 속도를 증가시킵니다.,提升无人机的攻击速度。
SKILL_TURBOZIPCHARGETIME_NAME,Imdug Bir Charge Time,Temps de charge Imdug Bir,Imdug-Bir-Aufladezeit,Tempo di carica di Imdug Bir,Tempo de carga do Imdug Bir,Tiempo de carga de Imdug Bir,Скорость заряда Имдуг Бир,임두그 비르 차지 시간,因杜戈毕尔蓄力时间
SKILL_TURBOZIPCHARGETIME_DESCRIPTION,Decreases the time to charge up the slingshot attack.,Réduit le temps de charge de l'attaque catapulte.,"Verringert die Zeit, um den Schleuderangriff aufzuladen.",Riduce il tempo necessario a caricare l'attacco a catapulta.,Diminui o tempo de carga do ataque estilingue.,Reduce el tiempo de recarga del ataque con la honda.,Уменьшает время заряда выстрела из пращи.,새총 공격의 충전 시간을 단축합니다.,缩短弹弓的蓄力时间。
